Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Arkansas"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers","721","435","286"
"RPR-Locksmiths And Safe Repairers","302","257","45"
"RPR-Riggers","124","79","45"
"RPR-Helpers--Installation, Maintenance, And Repair Workers","38","38","0"
"RPR-Other Installation, Maintenance, And Repair Workers","3133","2978","155"
"PRD-First-Line Supervisors Of Production And Operating Workers","13344","10543","2801"
"PRD-Electrical, Electronics, And Electromechanical Assemblers","1174","538","636"
"PRD-Engine And Other Machine Assemblers","95","55","40"
"PRD-Structural Metal Fabricators And Fitters","703","614","89"
"PRD-Other Assemblers and Fabricators","13264","7877","5387"
"PRD-Bakers","2088","226","1862"
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers","6828","3774","3054"
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","150","79","71"
"PRD-Food Batchmakers","1386","430","956"
"PRD-Food Cooking Machine Operators And Tenders","249","136","113"
"PRD-Food Processing Workers, All Other","6228","3855","2373"
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic","582","559","23"
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","1305","1098","207"
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic","671","578","93"
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic","166","120","46"
"PRD-Machinists","3350","3329","21"
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters","327","280","47"
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","431","371","60"
"PRD-Tool And Die Makers","797","783","14"
"PRD-Welding, Soldering, And Brazing Workers","9877","9494","383"
"PRD-Other Metal Workers And Plastic Workers","6680","5303","1377"
"PRD-Prepress Technicians And Workers","355","129","226"
"PRD-Printing Press Operators","1872","1369","503"
"PRD-Print Binding And Finishing Workers","74","11","63"
"PRD-Laundry And Dry-Cleaning Workers","1634","163","1471"
"PRD-Pressers, Textile, Garment, And Related Materials","730","312","418"
"PRD-Sewing Machine Operators","1718","261","1457"
"PRD-Shoe And Leather Workers","310","67","243"
"PRD-Tailors, Dressmakers, And Sewers","458","180","278"
"PRD-Textile Machine Setters, Operators, And Tenders","181","103","78"
"PRD-Upholsterers","484","322","162"
"PRD-Other Textile, Apparel, And Furnishings Workers","123","0","123"
"PRD-Cabinetmakers And Bench Carpenters","1096","1096","0"
"PRD-Furniture Finishers","228","101","127"
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood","1008","937","71"
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing","346","346","0"
"PRD-Other Woodworkers","213","213","0"
"PRD-Power Plant Operators, Distributors, And Dispatchers","651","628","23"
"PRD-Stationary Engineers And Boiler Operators","1375","1297","78"
"PRD-Water And Wastewater Treatment Plant And System Operators","1760","1714","46"
"PRD-Miscellaneous Plant And System Operators","647","618","29"
"PRD-Chemical Processing Machine Setters, Operators, And Tenders","363","326","37"
